OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,Year,Month,Calculated_Total,Mismatch
ORD200066,2024-11-15,C18104,Chair,5,127.18,715 Main St,cash,Cancelled,TRK15488568,9,SAVE10,Referral,635.9,2024,11,635.9000000000001,True
ORD200067,2024-12-09,C25587,Printer,4,12.1,440 Main St,debit card,Cancelled,TRK55105323,8,no_coupon,Google,48.4,2024,12,48.4,False
ORD200068,2023-12-11,C41598,Chair,3,490.92,709 Main St,credit card,Pending,TRK81665940,5,FREESHIP,Email,1472.76,2023,12,1472.76,False
ORD200069,2023-05-11,C43338,Monitor,3,478.65,552 Main St,online,Shipped,TRK35241775,4,no_coupon,Referral,1435.95,2023,5,1435.9499999999998,True
ORD200070,2023-05-26,C25123,Desk,1,629.21,384 Main St,gift card,Pending,TRK27812282,2,FREESHIP,Instagram,629.21,2023,5,629.21,False
ORD200071,2025-06-10,C37454,Monitor,3,434.45,923 Main St,credit card,Pending,TRK28252730,4,no_coupon,Referral,1303.35,2025,6,1303.35,False
ORD200072,2024-12-22,C19451,Tablet,4,589.44,942 Main St,gift card,Returned,TRK87787793,5,no_coupon,Facebook,2357.76,2024,12,2357.76,False
ORD200073,2023-05-03,C17269,Monitor,4,433.45,129 Main St,gift card,Cancelled,TRK79608389,4,no_coupon,Facebook,1733.8,2023,5,1733.8,False
ORD200074,2023-06-24,C25382,Phone,5,90.87,622 Main St,cash,Pending,TRK64691287,5,no_coupon,Instagram,454.35,2023,6,454.35,False
ORD200075,2023-09-26,C80651,Tablet,3,398.17,917 Main St,debit card,Delivered,TRK14846720,5,SAVE10,Email,1194.51,2023,9,1194.51,False
ORD200076,2024-03-31,C58638,Laptop,4,382.88,239 Main St,cash,Cancelled,TRK38224871,6,WINTER15,Email,1531.52,2024,3,1531.52,False
ORD200077,2024-05-24,C50121,Phone,1,583.18,348 Main St,credit card,Returned,TRK79810059,5,no_coupon,Google,583.18,2024,5,583.18,False
ORD200078,2024-08-06,C32029,Printer,4,175.36,146 Main St,debit card,Delivered,TRK68535532,4,FREESHIP,Instagram,701.44,2024,8,701.44,False
ORD200079,2025-03-10,C76700,Tablet,2,311.91,103 Main St,online,Shipped,TRK13036341,2,no_coupon,Facebook,623.82,2025,3,623.82,False
ORD200080,2023-06-27,C29041,Phone,3,589.56,591 Main St,online,Returned,TRK28840655,6,no_coupon,Facebook,1768.68,2023,6,1768.6799999999998,True
ORD200081,2023-06-08,C29314,Monitor,2,394.3,496 Main St,cash,Shipped,TRK59876213,6,FREESHIP,Email,788.6,2023,6,788.6,False
ORD200082,2024-01-05,C65799,Tablet,4,565.2,971 Main St,debit card,Shipped,TRK66906607,9,SAVE10,Google,2260.8,2024,1,2260.8,False
ORD200083,2023-08-22,C15681,Laptop,4,540.41,989 Main St,credit card,Cancelled,TRK75112172,6,no_coupon,Referral,2161.64,2023,8,2161.64,False
ORD200084,2023-08-28,C64160,Monitor,2,165.49,967 Main St,online,Shipped,TRK34121529,4,WINTER15,Instagram,330.98,2023,8,330.98,False
ORD200085,2024-09-09,C14553,Tablet,3,146.73,768 Main St,cash,Delivered,TRK93538334,8,FREESHIP,Email,440.19,2024,9,440.18999999999994,True
ORD200086,2024-06-19,C88205,Printer,5,643.03,447 Main St,online,Cancelled,TRK93504166,5,FREESHIP,Referral,3215.15,2024,6,3215.1499999999996,True
ORD200087,2024-10-10,C91245,Tablet,3,225.11,915 Main St,cash,Shipped,TRK46976391,4,SAVE10,Facebook,675.33,2024,10,675.33,False
ORD200088,2025-06-05,C75439,Desk,3,114.81,318 Main St,gift card,Cancelled,TRK19831653,7,no_coupon,Google,344.43,2025,6,344.43,False
ORD200089,2025-02-25,C17181,Printer,5,455.33,291 Main St,credit card,Cancelled,TRK78912978,8,FREESHIP,Google,2276.65,2025,2,2276.65,False
ORD200090,2023-09-18,C36540,Chair,4,182.08,611 Main St,gift card,Delivered,TRK35828122,4,SAVE10,Email,728.32,2023,9,728.32,False
ORD200091,2023-03-15,C98216,Laptop,5,492.75,196 Main St,cash,Shipped,TRK40986666,6,WINTER15,Referral,2463.75,2023,3,2463.75,False
ORD200092,2024-06-10,C29568,Printer,4,48.61,203 Main St,online,Shipped,TRK46531075,7,FREESHIP,Facebook,194.44,2024,6,194.44,False
ORD200093,2023-01-14,C97262,Desk,4,431.01,837 Main St,credit card,Returned,TRK65990229,7,no_coupon,Referral,1724.04,2023,1,1724.04,False
ORD200094,2023-02-11,C79821,Chair,1,531.18,781 Main St,gift card,Returned,TRK12780193,6,WINTER15,Instagram,531.18,2023,2,531.18,False
ORD200095,2023-03-24,C76761,Printer,4,117.51,839 Main St,debit card,Returned,TRK60179774,7,no_coupon,Referral,470.04,2023,3,470.04,False
ORD200096,2024-06-01,C93007,Phone,2,232.83,103 Main St,gift card,Delivered,TRK85696091,7,no_coupon,Instagram,465.66,2024,6,465.66,False
ORD200097,2025-01-21,C15624,Tablet,5,619.52,922 Main St,debit card,Pending,TRK40621141,9,no_coupon,Email,3097.6,2025,1,3097.6,False
ORD200098,2023-01-14,C70921,Printer,2,228.54,533 Main St,debit card,Pending,TRK54983109,3,no_coupon,Email,457.08,2023,1,457.08,False
ORD200099,2025-04-12,C30477,Printer,1,201.58,717 Main St,debit card,Cancelled,TRK51829648,2,WINTER15,Email,201.58,2025,4,201.58,False
ORD200100,2023-02-17,C74866,Phone,3,664.79,743 Main St,online,Delivered,TRK53783265,6,no_coupon,Facebook,1994.37,2023,2,1994.37,False
ORD200101,2023-11-25,C15283,Printer,1,381.02,152 Main St,cash,Shipped,TRK19286291,6,no_coupon,Google,381.02,2023,11,381.02,False
ORD200102,2023-03-08,C18037,Laptop,2,70.34,944 Main St,gift card,Cancelled,TRK47362236,3,FREESHIP,Email,140.68,2023,3,140.68,False
ORD200103,2025-01-25,C62656,Phone,4,218.43,514 Main St,credit card,Cancelled,TRK86296459,9,SAVE10,Email,873.72,2025,1,873.72,False
ORD200104,2024-07-30,C65744,Phone,1,582.04,647 Main St,gift card,Delivered,TRK39906058,1,FREESHIP,Email,582.04,2024,7,582.04,False
ORD200105,2024-10-24,C72290,Printer,3,185.4,810 Main St,gift card,Cancelled,TRK68792129,7,no_coupon,Facebook,556.2,2024,10,556.2,False
ORD200106,2023-09-08,C73514,Desk,3,465.05,126 Main St,credit card,Cancelled,TRK96777924,3,SAVE10,Email,1395.15,2023,9,1395.15,False
ORD200107,2023-03-27,C16775,Printer,5,670.75,848 Main St,gift card,Shipped,TRK34392124,8,FREESHIP,Instagram,3353.75,2023,3,3353.75,False
ORD200108,2024-12-28,C33099,Laptop,5,48.38,522 Main St,gift card,Delivered,TRK28522330,9,WINTER15,Email,241.9,2024,12,241.9,False
ORD200109,2023-09-17,C51157,Desk,3,592.87,131 Main St,gift card,Shipped,TRK18674578,3,FREESHIP,Referral,1778.61,2023,9,1778.6100000000001,True
ORD200110,2024-04-21,C74562,Tablet,1,220.77,388 Main St,gift card,Pending,TRK32062079,5,FREESHIP,Instagram,220.77,2024,4,220.77,False
ORD200111,2025-05-07,C95271,Desk,3,309.22,620 Main St,online,Cancelled,TRK74904969,7,FREESHIP,Google,927.66,2025,5,927.6600000000001,True
ORD200112,2023-01-01,C81366,Monitor,1,410.6,423 Main St,online,Cancelled,TRK17062206,2,WINTER15,Referral,410.6,2023,1,410.6,False
ORD200113,2024-01-17,C65905,Laptop,5,190.08,605 Main St,cash,Shipped,TRK73954365,9,FREESHIP,Instagram,950.4,2024,1,950.4000000000001,True
ORD200114,2025-01-27,C77272,Monitor,5,498.48,115 Main St,online,Pending,TRK29708128,8,SAVE10,Google,2492.4,2025,1,2492.4,False
ORD200115,2023-11-27,C32580,Phone,5,374.99,122 Main St,online,Shipped,TRK23670394,9,SAVE10,Facebook,1874.95,2023,11,1874.95,False
ORD200116,2023-03-19,C47761,Printer,4,291.35,109 Main St,credit card,Cancelled,TRK66669207,6,WINTER15,Facebook,1165.4,2023,3,1165.4,False
ORD200117,2023-03-08,C49187,Tablet,1,535.5,593 Main St,gift card,Cancelled,TRK81888598,5,WINTER15,Referral,535.5,2023,3,535.5,False
ORD200118,2023-10-09,C27898,Printer,5,502.71,807 Main St,gift card,Shipped,TRK61957665,7,FREESHIP,Google,2513.55,2023,10,2513.5499999999997,True
ORD200119,2025-06-11,C14683,Desk,2,534.67,187 Main St,debit card,Shipped,TRK47373682,7,FREESHIP,Referral,1069.34,2025,6,1069.34,False
ORD200120,2023-04-11,C58108,Tablet,4,629.34,986 Main St,cash,Cancelled,TRK66218053,4,WINTER15,Instagram,2517.36,2023,4,2517.36,False
ORD200121,2023-11-30,C89822,Desk,1,410.78,673 Main St,cash,Cancelled,TRK24138598,1,FREESHIP,Instagram,410.78,2023,11,410.78,False
ORD200122,2024-04-15,C96787,Laptop,2,533.02,588 Main St,gift card,Shipped,TRK30422853,2,no_coupon,Facebook,1066.04,2024,4,1066.04,False
ORD200123,2023-07-06,C86064,Desk,3,278.04,727 Main St,online,Delivered,TRK62182901,5,no_coupon,Instagram,834.12,2023,7,834.1200000000001,True
ORD200124,2024-07-28,C97148,Printer,4,283.79,563 Main St,online,Pending,TRK85321126,8,no_coupon,Google,1135.16,2024,7,1135.16,False
ORD200125,2024-11-06,C91099,Phone,2,512.65,758 Main St,credit card,Shipped,TRK81846174,5,SAVE10,Email,1025.3,2024,11,1025.3,False
ORD200126,2025-05-03,C55606,Desk,4,275.5,353 Main St,gift card,Shipped,TRK68250319,8,FREESHIP,Google,1102.0,2025,5,1102.0,False
ORD200127,2023-08-10,C71486,Desk,3,469.32,365 Main St,debit card,Shipped,TRK73929833,3,no_coupon,Google,1407.96,2023,8,1407.96,False
ORD200128,2023-02-17,C86408,Tablet,4,21.07,244 Main St,gift card,Delivered,TRK41432648,4,FREESHIP,Google,84.28,2023,2,84.28,False
ORD200129,2023-10-27,C52751,Laptop,4,263.93,427 Main St,debit card,Shipped,TRK72481234,4,FREESHIP,Facebook,1055.72,2023,10,1055.72,False
ORD200130,2025-01-22,C29059,Desk,3,501.3,513 Main St,online,Cancelled,TRK88360704,3,WINTER15,Facebook,1503.9,2025,1,1503.9,False
ORD200131,2023-01-08,C72862,Tablet,1,84.8,606 Main St,gift card,Pending,TRK51648833,5,no_coupon,Instagram,84.8,2023,1,84.8,False
ORD200132,2023-03-28,C96257,Tablet,4,450.75,583 Main St,credit card,Shipped,TRK13137948,6,WINTER15,Email,1803.0,2023,3,1803.0,False
ORD200133,2025-06-20,C87432,Chair,4,302.05,636 Main St,debit card,Cancelled,TRK68969625,6,SAVE10,Google,1208.2,2025,6,1208.2,False
ORD200134,2025-06-23,C16253,Laptop,2,199.7,583 Main St,cash,Pending,TRK17354894,4,no_coupon,Email,399.4,2025,6,399.4,False
ORD200135,2023-08-04,C79909,Printer,2,68.81,642 Main St,gift card,Shipped,TRK86742257,5,SAVE10,Referral,137.62,2023,8,137.62,False
ORD200136,2024-04-27,C73370,Laptop,1,44.35,595 Main St,gift card,Cancelled,TRK67820278,1,SAVE10,Instagram,44.35,2024,4,44.35,False
ORD200137,2024-11-26,C50682,Monitor,2,250.98,598 Main St,credit card,Delivered,TRK12242337,5,no_coupon,Google,501.96,2024,11,501.96,False
ORD200138,2023-12-21,C21905,Tablet,1,298.06,478 Main St,debit card,Pending,TRK31863841,3,WINTER15,Google,298.06,2023,12,298.06,False
ORD200139,2023-04-10,C61440,Phone,1,583.9,714 Main St,cash,Returned,TRK33114521,1,no_coupon,Email,583.9,2023,4,583.9,False
ORD200140,2025-05-31,C33110,Chair,3,528.14,388 Main St,online,Delivered,TRK38624225,3,FREESHIP,Email,1584.42,2025,5,1584.42,False
ORD200141,2023-11-18,C80004,Printer,3,684.14,151 Main St,cash,Cancelled,TRK66230753,3,WINTER15,Instagram,2052.42,2023,11,2052.42,False
ORD200142,2023-09-06,C86374,Desk,5,272.77,573 Main St,cash,Pending,TRK79451491,7,WINTER15,Email,1363.85,2023,9,1363.85,False
ORD200143,2024-06-13,C66521,Chair,4,400.07,933 Main St,online,Shipped,TRK34654244,5,no_coupon,Referral,1600.28,2024,6,1600.28,False
ORD200144,2023-08-04,C63365,Desk,5,219.78,895 Main St,credit card,Pending,TRK80100887,8,no_coupon,Facebook,1098.9,2023,8,1098.9,False
ORD200145,2024-03-02,C85929,Printer,3,146.91,798 Main St,credit card,Delivered,TRK29318610,6,FREESHIP,Google,440.73,2024,3,440.73,False
ORD200146,2025-04-30,C84645,Tablet,2,411.49,404 Main St,credit card,Returned,TRK68893369,4,no_coupon,Instagram,822.98,2025,4,822.98,False
ORD200147,2025-05-06,C46316,Laptop,2,465.18,893 Main St,credit card,Cancelled,TRK16196000,2,SAVE10,Google,930.36,2025,5,930.36,False
ORD200148,2024-12-15,C35100,Phone,2,319.91,139 Main St,credit card,Cancelled,TRK56853491,3,WINTER15,Google,639.82,2024,12,639.82,False
ORD200149,2023-12-27,C39671,Laptop,1,217.56,174 Main St,debit card,Delivered,TRK47153818,3,no_coupon,Facebook,217.56,2023,12,217.56,False
ORD200150,2023-12-13,C25503,Phone,2,105.57,981 Main St,debit card,Returned,TRK29878837,5,WINTER15,Google,211.14,2023,12,211.14,False
ORD200151,2023-12-01,C32960,Printer,5,444.76,947 Main St,debit card,Returned,TRK91226500,7,no_coupon,Email,2223.8,2023,12,2223.8,False
ORD200152,2025-01-02,C77736,Chair,2,399.04,659 Main St,cash,Cancelled,TRK90329250,3,FREESHIP,Referral,798.08,2025,1,798.08,False
ORD200153,2024-12-18,C71570,Chair,4,534.48,437 Main St,online,Returned,TRK95992269,9,WINTER15,Instagram,2137.92,2024,12,2137.92,False
ORD200154,2023-07-20,C73587,Phone,4,408.21,727 Main St,credit card,Pending,TRK13955543,9,no_coupon,Instagram,1632.84,2023,7,1632.84,False
ORD200155,2023-02-27,C62740,Phone,1,424.4,446 Main St,online,Shipped,TRK20706408,6,WINTER15,Referral,424.4,2023,2,424.4,False
ORD200156,2024-11-08,C58808,Chair,2,269.83,651 Main St,online,Delivered,TRK24451893,4,SAVE10,Email,539.66,2024,11,539.66,False
ORD200157,2025-02-21,C50422,Monitor,2,564.58,636 Main St,online,Returned,TRK71227815,4,WINTER15,Facebook,1129.16,2025,2,1129.16,False
ORD200158,2024-05-16,C23334,Tablet,1,331.06,737 Main St,credit card,Pending,TRK46335144,5,WINTER15,Instagram,331.06,2024,5,331.06,False
ORD200159,2023-10-31,C48965,Printer,1,299.35,819 Main St,credit card,Cancelled,TRK50921780,5,WINTER15,Email,299.35,2023,10,299.35,False
ORD200160,2023-02-17,C38669,Monitor,4,101.32,240 Main St,cash,Pending,TRK81738254,7,no_coupon,Referral,405.28,2023,2,405.28,False
ORD200161,2024-03-29,C35091,Monitor,1,211.14,513 Main St,credit card,Cancelled,TRK53784452,1,SAVE10,Facebook,211.14,2024,3,211.14,False
ORD200162,2023-07-27,C82313,Chair,3,65.86,917 Main St,online,Pending,TRK79854624,8,WINTER15,Google,197.58,2023,7,197.57999999999998,True
ORD200163,2025-06-24,C99589,Tablet,1,641.39,277 Main St,online,Cancelled,TRK16695001,1,no_coupon,Referral,641.39,2025,6,641.39,False
ORD200164,2023-12-28,C70566,Desk,5,536.58,667 Main St,gift card,Pending,TRK49673411,5,SAVE10,Google,2682.9,2023,12,2682.9,False
ORD200165,2024-09-14,C60355,Monitor,2,500.29,226 Main St,online,Returned,TRK30155194,7,WINTER15,Google,1000.58,2024,9,1000.58,False
ORD200166,2025-03-04,C28889,Chair,3,86.29,565 Main St,cash,Delivered,TRK23791726,6,WINTER15,Instagram,258.87,2025,3,258.87,False
ORD200167,2023-05-27,C88304,Chair,2,384.14,219 Main St,online,Returned,TRK44268941,2,WINTER15,Email,768.28,2023,5,768.28,False
ORD200168,2025-01-04,C49517,Printer,1,594.96,878 Main St,cash,Returned,TRK78551375,6,no_coupon,Facebook,594.96,2025,1,594.96,False
ORD200169,2024-04-07,C35785,Printer,1,427.82,732 Main St,online,Delivered,TRK78923089,2,WINTER15,Email,427.82,2024,4,427.82,False
ORD200170,2025-04-04,C80223,Desk,4,662.94,535 Main St,cash,Cancelled,TRK68632951,8,SAVE10,Instagram,2651.76,2025,4,2651.76,False
ORD200171,2023-08-15,C20448,Tablet,2,148.22,336 Main St,credit card,Delivered,TRK67379895,7,WINTER15,Instagram,296.44,2023,8,296.44,False
ORD200172,2025-04-06,C34134,Printer,1,254.12,365 Main St,online,Delivered,TRK43074303,1,WINTER15,Email,254.12,2025,4,254.12,False
ORD200173,2024-03-24,C95901,Phone,3,664.46,806 Main St,online,Delivered,TRK56989066,4,FREESHIP,Google,1993.38,2024,3,1993.38,False
ORD200174,2024-04-16,C51145,Printer,4,600.81,790 Main St,debit card,Delivered,TRK59154274,9,SAVE10,Email,2403.24,2024,4,2403.24,False
ORD200175,2025-02-08,C78170,Chair,5,68.34,332 Main St,debit card,Pending,TRK71410605,6,WINTER15,Referral,341.7,2025,2,341.70000000000005,True
ORD200176,2025-06-28,C80151,Tablet,4,430.83,553 Main St,gift card,Pending,TRK88251529,8,WINTER15,Referral,1723.32,2025,6,1723.32,False
ORD200177,2023-08-05,C55632,Chair,5,431.69,354 Main St,credit card,Pending,TRK13003066,10,no_coupon,Facebook,2158.45,2023,8,2158.45,False
